model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
DeepLearning_grid_2_AutoML_1_20250426_112748_model_2,0.8088235294117647,0.511308685667533,0.649414213324831,0.2387820512820512,0.4146370467890235,0.1719238805699229
StackedEnsemble_AllModels_5_AutoML_1_20250426_112748,0.8050527903469079,0.506803131877326,0.6527815442208424,0.2368966817496229,0.4179251504325781,0.174661431364093
XRT_1_AutoML_1_20250426_112748,0.8019419306184012,0.4930537387660954,0.6623193796656219,0.2659313725490196,0.4104587355305005,0.1684763735732973
DeepLearning_grid_1_AutoML_1_20250426_112748_model_9,0.801659125188537,0.5604928977991678,0.6555949614312719,0.2605580693815988,0.4289844431363531,0.184027652453007
GBM_grid_1_AutoML_1_20250426_112748_model_33,0.7997737556561085,0.5393742575012164,0.5945470032151323,0.2426470588235294,0.4308904900836393,0.1856666144445188
DeepLearning_grid_1_AutoML_1_20250426_112748_model_3,0.7988310708898945,1.0823256478882202,0.5855442998312079,0.2417043740573152,0.436566271744194,0.1905901096246254
GBM_grid_1_AutoML_1_20250426_112748_model_10,0.7984539969834088,0.5023623534070482,0.6117880623174214,0.2470776772247361,0.4136539233159456,0.1711095682746742
DeepLearning_grid_2_AutoML_1_20250426_112748_model_3,0.7960030165912518,0.5163632229522979,0.6249198140636304,0.2576357466063348,0.4139603765490725,0.1713631933526498
DeepLearning_grid_2_AutoML_1_20250426_112748_model_4,0.7918552036199096,0.526553868867533,0.685329129084784,0.2697963800904977,0.4123737389893847,0.1700521006080851
DeepLearning_grid_1_AutoML_1_20250426_112748_model_5,0.7914781297134238,0.9044416015751918,0.6027051187280924,0.2320889894419306,0.428697769501884,0.1837817775758904
DeepLearning_grid_1_AutoML_1_20250426_112748_model_2,0.790818250377074,0.7305314101078777,0.6163119102980718,0.2420814479638009,0.4368508268229204,0.1908386448958692
GBM_grid_1_AutoML_1_20250426_112748_model_77,0.7837481146304677,0.5467557277477871,0.6093507242822233,0.2714932126696833,0.4322576383012447,0.1868466658697696
GBM_grid_1_AutoML_1_20250426_112748_model_1,0.7837481146304677,0.520668322899042,0.5836692799050129,0.2603695324283559,0.4208538582251959,0.1771179699830332
DeepLearning_1_AutoML_1_20250426_112748,0.7709276018099547,0.5497208947058144,0.6097761225046372,0.2905354449472096,0.4299404209908538,0.1848487656017926
GBM_grid_1_AutoML_1_20250426_112748_model_80,0.7664027149321266,0.6065385013495374,0.5953351440198467,0.2724358974358974,0.4566572412922611,0.2085358360246584
DeepLearning_grid_1_AutoML_1_20250426_112748_model_4,0.7173831070889894,1.0442288824565316,0.4950444993730022,0.2812971342383107,0.5006704915218775,0.2506709410807584
